id,name
17470,Science Fiction
227490,"Patent, Trademark & Copyright"
768618,Hackers
4632,Special Conditions
226524,Mechanics
579536,( M )
10777,Law
3048891,Memoirs
918066,T.Witches
4566,General Broadcasting
160685,( W )
11370,Family Relationships
4628,General
13788,General
767882,Industries & Professions
767742,Biographies & Primers
408268,General
266231,Ages 4-8
227663,Reference
11083,General
400092,Literature & Fiction
465318,Naval
4300,U.S. Regional
14245,Physician & Patient
4301,African American
12484,Wicca
572094,General
12636,Divination
4229,Gastronomy
11289,General
10960,"Patent, Trademark & Copyright"
227499,Reference
70021,"Authors, A-Z"
227492,Law Practice
2558,Business Life
170540,"Authors & Illustrators, A-Z"
10129,Contemporary
266100,Jonny Quest
2731,Retirement Planning
768056,Personal Finance
168482,By Theme
4003,Security
14191,Nursing
11003,Crime & Criminals
13643,Engineering
170062,General
2159,Drama
3997,Project Management
266232,Ages 9-12
10285,Single Authors
132,Kids & Family
281836,Scooby-Doo Mystery
740122,Childhood Drama
280275,Seventh Heaven
48,Home & Garden
734006,DVD Outlet
13813,General
740132,Urban Life
161832,"Wyatt, Jane"
227584,General
740040,Psychological Drama
605012,Travel
3648,Hackers
768002,Management Science
3002,Stories
6,"Cooking, Food & Wine"
598170,Vocal Jazz
163390,General
10001,General
17443,Literature & Fiction
733676,Photo Essays
404272,VHS
4507,Music
1084244,Twins
10213,General
266237,Jesus
5174,Music
639912,Great Britain
2967,Action & Adventure
3114,Christian
640084,General
11232,Social Sciences
86,Entertainment
11189,Occupational & Organizational
740178,Kids in Trouble
301738,Bebes a 3 años
4251,Professional Cooking
17466,Science Fiction & Fantasy
639932,General
170063,General
4466,General
70700,"Whitman, Walt"
10703,Nonfiction
10204,History & Criticism
764566,Latin American Cinema
764432,Translations
13857,General
4569,Television
409298,Today's Deals in DVD
169207,Characters & Series
768564,Internet
4196,Baking
14403,Radiology
640502,United States
4323,Low Fat
301731,Libros en español
10248,Poetry
11035,Epistemology
301735,Infantil y juvenil
2732,Reference
2966,Literature
28,Teens
4498,Reference
3360,Mystery & Detective
12333,Christian Living
2020,Photography
11298,Special Groups
639538,Travel Books
163313,Art House & International
173514,Medical
740052,Family Life
14038,Alternative & Holistic
70023,( B )
4254,Professional
69304,( D )
16952,General
16956,Scotland
2675,Management & Leadership
4464,Essays
12465,Worship & Devotion
4317,Special Diet
2423,Medical
75,Science
3049,General
11079,Politics
585596,"Authors, A-Z"
69300,"Authors, A-Z"
734044,Deals Under $20
300277,7-9 Years
12438,Pentecostal
17,Literature & Fiction
67204,Classic Rock
502948,Coming of Age
494022,Biography
11892,Authorship
172820,Christianity
502394,Camera & Photo
284927,Brazil
4656,Disorders & Diseases
12404,Protestantism
579542,( P )
916554,Jazz
13809,Telecommunications
7312,"James, Del"
5328,Remodeling & Renovation
282861,Nutrition
11119,Psychology & Counseling
141883,"Bohnen, Roman"
9966,Poetry
3064,Siblings
2082,Photo Essays
141122,"Barrymore, Ethel"
2787,Animals
3003,Humorous
11713,Encyclopedias
17228,Regions
227640,Nursing
142037,"Boulton, Matthew"
171114,General
11296,Urban
5319,Home Design
12354,General
3149,Social Situations
172812,Eschatology
14185,History
4564,Radio
171246,Jazz
9222,"Stine, R. L."
4733,Love & Romance
5011,Military
11325,Women's Studies
2636,"Hospitality, Travel & Tourism"
140,Actors & Actresses
494018,Basketball
10125,General
17244,South
10259,General
3101,Religions
3305,Classics
173487,Law Practice
1084192,Issues
63934,Vocal Jazz General
5067,Americana
3103,Biographies
640520,South
10763,Elections
290081,Birds
3,Business & Investing
173507,Professional & Technical
3176,Reference & Nonfiction
605116,General
17227,United States
3839,Programming
13942,History
3066,Nonfiction
491386,Music
9924,"Whitman, Walt"
11005,Criminology
1061348,jp-unknown1
767746,Company Profiles
4366,Comics & Graphic Novels
3020,People & Places
301889,Gay & Lesbian
17248,General
145628,"Duryea, Dan"
3016,"Mysteries, Espionage, & Detectives"
227708,Radiology
403502,Directors
146055,( F )
70044,( W )
290082,Regional
10924671,Low Carb
2154,Theater
521000,Performing Arts
227203,Internal Medicine
4211,"Herbs, Spices & Condiments"
549726,Digital Business & Culture
468230,History
14361,Oncology
504358,Formats
169187,General
2637,Human Resources & Personnel Management
3307,Betsy & Tacy
5144,General
4642,Low Sugar
287265,"Doyle, Arthur Conan"
25,Science Fiction & Fantasy
4613,Diets & Weight Loss
5439,"Authors, A-Z"
12714,Occultism
565162,Deals Under $20
3048861,Children's Studies
14243,Nutrition
11716,Art
227660,Pediatrics
640090,Food & Lodging
468040,Specialty Stores
18,Mystery & Thrillers
585790,"Doyle, Sir Arthur Conan"
1000,Subjects
4390,Graphic Novels
3825121,Superheroes
4396,Publishers
284551,General
764438,"Study Guides, History & Reference"
520200,General
8806,( S )
4,Children's Books
3013,"Science Fiction, Fantasy, Mystery & Horror"
504360,Specialty Stores
4808,Americas
67222,Southern Rock
12015,Writing
12472,Earth-Based Religions
227583,Alternative Medicine
468374,Studio Specials
3192,School & Education
290094,Rocky Mountains
639832,Europe
3072,Christmas
14367,General
4435,General
4314,South
3018,Spine-Chilling Horror
4701,General
227709,General
5031,World War II
3073,Fiction
168754,General
301668,Styles
502916,By Theme
11352,Aging Parents
16288,History & Criticism
599868,Arena Rock
400096,Popular Fiction
4402,Games
1205142,General
4409,Card Games
4615,Diets
17035,Dining
14237,Reference
768606,Digital Business & Culture
513092,Monsters
11308,Lesbian Studies
454408,"Babenco, Hector"
16203,History & Criticism
4456,Humor
285080,Amazon.com Stores
12368,Preaching
34,Jazz
4574,Reference
4992,Jewish
